dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Eu quero adiar a nomeação de um Lorde até que eu me aconselhe com meus súditos. 
dlga_merchant_quest_persuade_peace_3:merchant_quest_persuade_peace_4|Quem são esses belicistas que bloqueiam o caminho da paz?
dlga_merchant_quest_persuade_peace_3:merchant_quest_persuade_peace_4.1|Quem são esses lordes de que fala?
dlga_merchant_quest_persuade_peace_4:merchant_quest_persuade_peace_5|Eles são {s12} de {s15} e {s13} de {s14}. Até que eles mudem de ideia ou percam sua influência, não haverá chance de se obter a paz entre os dois lados.
dlga_merchant_quest_persuade_peace_5:merchant_quest_persuade_peace_6|O que pode ser feito quanto a isso?
dlga_merchant_quest_persuade_peace_5:merchant_quest_persuade_peace_6.1|Infelizmente, parece que nada pode ser feito sobre isso.
dlga_merchant_quest_persuade_peace_6:merchant_quest_persuade_peace_7|Há um modo de resolver esse problema. Uma pessoa determinada poderia talvez persuadir um ou talvez ambos lordes em aceitar a paz. E se isso falhar, pode ser possível derrotar esses lordes em batalha e tomá-los como prisioneiros. Se eles forem cativos, eles perderam a influência e não poderão mais se opor a uma trégua... O que você acha? Pode fazer isso?
dlga_merchant_quest_persuade_peace_7:merchant_quest_persuade_peace_8|Parece difícil. Mas vou tentar.
dlga_merchant_quest_persuade_peace_7:merchant_quest_persuade_peace_8.1|Se o preço for bom, posso até tentar.
dlga_merchant_quest_persuade_peace_7:merchant_quest_persuade_peace_8.2|Esqueça. Isso não é problema meu.
dlga_merchant_quest_persuade_peace_8:merchant_quest_persuade_peace_9|A maioria dos comerciantes na cidade irão abrir suas bolsas com prazer para apoiar esse plano. Acho que podemos juntar {reg12} dinares com eles. Ficaremos felizes em recompensá-l{o/a} com essa quantia, se for bem sucedid{o/a}. Convença {s12} e {s13} a aceitar a trégua, e se ambos se mostrarem teimosos, certifique-se que eles sejam feitos cativos e não aceite qualquer resgate até que a paz seja acertada.
dlga_merchant_quest_persuade_peace_9:merchant_quest_persuade_peace_10|Tudo bem. Farei o meu melhor.
dlga_merchant_quest_persuade_peace_9:merchant_quest_persuade_peace_no|Desculpe. Não posso fazer isso.
dlga_merchant_quest_persuade_peace_10:close_window|Excelente. Você tem nossas bênçãos. Espero que seja capaz de lidar com aqueles bodes velhos. Estaremos esperando por boas notícias.
dlga_merchant_quest_persuade_peace_no:close_window|Não diga que recusa assim, de pronto. Pense um pouco mais. Se tem alguém que possa fazer isso, esse alguém é você.
dlga_merchant_quest_requested:merchant_quest_deal_with_night_bandits|Sim! Há um grupo de bandidos infestando a cidade, e estou sem ideias de como lidar com eles. Eles têm emboscado e assaltado os habitantes no calar da noite, e sumindo rapidamente antes que os guardas possam pegá-los. Não conseguimos pegar um único assaltante ainda. Eles apenas atacam pessoas que estejam sozinhas, nunca ousando se mostrar para um grupo. Eu preciso que alguém seja capaz de enfrentar esses bandidos sozinho e vencer. Parece ser o único modo de levá-los a justiça. Está dispost{o/a} a ajudar?
dlga_merchant_quest_brief:merchant_quest_deal_with_night_bandits|Há um grupo de bandidos infestando a cidade, e estou sem ideias de como lidar com eles. Eles têm emboscado e assaltado os habitantes no calar da noite, e sumindo rapidamente antes que os guardas possam pegá-los. Não conseguimos pegar um único assaltante ainda. Eles apenas atacam pessoas que estejam sozinhas, nunca ousando se mostrar para um grupo. Eu preciso que alguém seja capaz de enfrentar esses bandidos sozinho e vencer. Parece ser o único modo de levá-los a justiça. Está dispost{o/a} a ajudar?
dlga_merchant_quest_deal_with_night_bandits:deal_with_night_bandits_quest_taken|Matar bandidos? Mas é claro!
dlga_merchant_quest_deal_with_night_bandits:merchant_quest_stall|Desculpe, mas não estou interessado.
dlga_deal_with_night_bandits_quest_taken:mayor_pretalk|Isso tira um peso de meus ombros, {playername}. Você pode esperar uma boa recompensa se tiver êxito. Apenas não vá ser morto, certo?
dlga_merchant_quest_requested:merchant_quest_brief.6|Um dos comerciantes aqui procura por vaqueiros para levar seu gado até o mercado de {s13}.
dlga_merchant_quest_brief:move_cattle_herd_quest_brief|O rebanho deve estar em {s13} em 30 dias. O quanto antes melhor, mas absolutamente dentro de 30 dias. Se puder fazer isso pagarei {reg8} dinares a você. Interessad{o/a}?
dlga_move_cattle_herd_quest_brief:move_cattle_herd_quest_taken|Sim, posso levar o rebanho até {s13}.
dlga_move_cattle_herd_quest_brief:merchant_quest_stall|Não, desculpe.
dlga_move_cattle_herd_quest_taken:mayor_pretalk|Esplêndido. Você irá encontrar o rebanho fora da cidade. Depois de levar os animais até {s13} volte até mim para receber seu pagamento.
dlga_merchant_quest_requested:mayor_pretalk|Temo que não possa oferecer um trabalho para você agora.
dlga_start:village_elder_deliver_cattle_thank|{Meu bom senhor/Minha gentil senhora}. Nossa vila agradece por sua ajuda. Graças as {reg5} cabeças de gado que nos trouxe, seremos capaz de criar nosso próprio rebanho.
dlga_village_elder_deliver_cattle_thank:village_elder_talk|{Meu bom senhor/Minha gentil senhora}, por favor, há algo mais que podemos fazer por você?
dlga_start:village_elder_talk|Bom dia, {senhor/madame}, e benvind{o/a} a {s9}. Sou o ancião dessa vila.
dlga_start:village_elder_talk.1|Benvind{o/a} a {s9}, {meu senhor/minha senhora}. Estamos muito felizes com a notícia de que és {o novo lorde/a nova lorde} de nossa humilde vila. Eu sou o ancião da vila e ficarei honrado em servi-l{o/a} como puder.
dlga_start:village_elder_talk.2|{Meu senhor/Minha senhora}, você honra nossa humilde vila com sua presença.
dlga_start:village_elder_talk.3|Bom dia, {senhor/madame}.
dlga_village_elder_pretalk:village_elder_talk|Há alguma coisa que pode fazer por você?
dlga_village_elder_talk:village_elder_ask_fugitive|Eu procuro por um homem com o nome de {s4}. Me foi dito que ele se esconde por aqui.
dlga_village_elder_ask_fugitive:village_elder_pretalk|Estranhos vêm e vão nessa vila, {senhor/madame}. Mas eu duvido que você o encontre a essa hora da noite. Poderá ter melhor sorte durante o dia.
dlga_village_elder_ask_fugitive:close_window|Estranhos vêm e vão nessa vila, {senhor/madame}. Se ele se esconde aqui, tenho certeza que poderá encontrá-lo se der uma olhada nos arredores.
dlga_village_elder_talk:village_elder_active_mission_1|Sobre a tarefa que me pediu...
dlga_village_elder_talk:village_elder_request_mission_ask|Posso ajudá-lo com alguma tarefa?
dlga_village_elder_talk:village_elder_trade_begin|Quero comprar suprimentos. Pagarei com ouro.
dlga_village_elder_trade_begin:village_elder_trade_talk|É claro, {senhor/madame}. Quer comprar mercadorias ou gado?
dlga_village_elder_trade_talk:village_elder_trade|Quero comprar comida e suprimentos.
dlga_village_elder_trade:village_elder_pretalk|Temos comida e outros suprimentos em nosso depósito. Venha dar uma olhada.
dlga_village_elder_trade_talk:village_elder_buy_cattle|Quero comprar gado.
dlga_village_elder_trade_talk:village_elder_pretalk|Mudei de ideia. Não quero comprar coisa alguma.
dlga_village_elder_talk:village_elder_ask_enemies|Você viu algum inimigo por aqui recentemente?
dlga_village_elder_ask_enemies:village_elder_pretalk|Me desculpe, {senhor/madame}. Não vimos nem ouvimos falar sobre quaisquer grupos de guerra inimigos nessa área.
dlga_village_elder_ask_enemies:village_elder_tell_enemies|Hmm. Vou deixe-me pensar sobre isso.
dlga_village_elder_tell_enemies:village_elder_tell_enemies|{s1} {s2}
dlga_village_elder_tell_enemies:village_elder_pretalk|Não, {senhor/madame}. Não vimos nem ouvimos falar sobre quaisquer grupos de guerra inimigos nessa área já faz algum tempo.
dlga_village_elder_tell_enemies:village_elder_pretalk.1|Bem, acho que isso era tudo.
dlga_village_elder_talk:village_elder_ask_set_fire|Eu preciso que vocês comecem um grande incêndio perto dessa vila.
dlga_village_elder_ask_set_fire:close_window|Já concordamos sobre isso, {senhor/senhora}. Farei o meu melhor, pode confiar.
dlga_village_elder_ask_set_fire:village_elder_ask_set_fire_1|Um incêndio, {senhor/madame}! Incêndios são perigosos! Por que faríamos tal coisa?
dlga_village_elder_ask_set_fire:village_elder_ask_set_fire_5|Acho que já discutimos tal coisa, {senhor/senhora}.
dlga_village_elder_ask_set_fire:village_elder_ask_set_fire_5.1|Já falamos sobre isso antes {senhor/senhora} e suas ofertas anteriores foram baixas comparadas com o risco que quer que tomemos.
dlga_village_elder_ask_set_fire_1:village_elder_ask_set_fire_2|Eu tenho meus motivos, e você tem os seus -- uma bolsa de prata. Fará isso, ou não?
dlga_village_elder_ask_set_fire_1:village_elder_ask_set_fire_explain_plan|Devido ao risco que você corre, você deve saber os meus motivos.
dlga_village_elder_ask_set_fire_explain_plan:village_elder_ask_set_fire_2|Eu desejo resgatar um prisioneiro de {s4}. Quando começar o incêndio, os guardas em {s4} verão a fumaça, e alguns deles virão até aqui ou baixarão a guarda para ver o que está acontecendo.
dlga_village_elder_ask_set_fire_2:village_elder_ask_set_fire_9|Como desejar, {senhor/senhora}. Você tem sido um bom amigo dessa vila, e, mesmo que haja um risco, nós ficaremos felizes ajudando você. Quando quer que comecemos o incêndio?
dlga_village_elder_ask_set_fire_2:close_window|Me desculpe, {senhor/senhora}. Terá que me perdoar por dizer isso, mas não temos um bom motivo para confiar em você. Isso é muito perigoso.
dlga_village_elder_ask_set_fire_2:village_elder_ask_set_fire_3|Como quiser, {senhor/senhora}. Mas fazendo isso, estamos correndo um risco muito grande. O que ganhamos com isso?
dlga_village_elder_ask_set_fire_3:village_elder_ask_set_fire_4|Posso dar 100 dinares.
dlga_village_elder_ask_set_fire_3:village_elder_ask_set_fire_6|Posso dar 200 dinares.
dlga_village_elder_ask_set_fire_3:village_elder_ask_set_fire_6.1|Posso dar 300 dinares.
dlga_village_elder_ask_set_fire_3:close_window|Deixe para lá.
dlga_village_elder_ask_set_fire_4:village_elder_talk|Isso é loucura. Não posso correr tal risco.
dlga_village_elder_ask_set_fire_5:village_elder_ask_set_fire_7|Então vou aumentar sua recompensa para 200 dinares.
dlga_village_elder_ask_set_fire_5:village_elder_ask_set_fire_6|Então vou aumentar sua recompensa para 300 dinares.
dlga_village_elder_ask_set_fire_5:village_elder_ask_set_fire_6.1|Então vou aumentar sua recompensa para 300 dinares. É minha última oferta.
dlga_village_elder_ask_set_fire_5:close_window|Deixe para lá.
dlga_village_elder_ask_set_fire_6:village_elder_ask_set_fire_9|Muito bem. Você está me pedindo para correr um grande risco, mas farei isso. Quando quer que esse incêndio comece?
dlga_village_elder_ask_set_fire_7:village_elder_talk|Não posso fazer tal coisa perigosa por 200 dinares.
dlga_village_elder_ask_set_fire_9:village_elder_ask_set_fire_10|Continue com suas preparações. Daqui a uma hora, eu precisarei do incêndio.
dlga_village_elder_ask_set_fire_9:village_elder_ask_set_fire_11|Faça isso na badalada da meia-noite. Eu esperarei exatamente uma hora.
dlga_village_elder_ask_set_fire_10:close_window|Muito bem, {senhor/madame}. Iremos fazer nossos preparativos. Agora você faça os seus.
dlga_village_elder_ask_set_fire_11:close_window|Como quiser, {senhor/senhora}. Que os céus te protejam.
dlga_village_elder_talk:village_elder_recruit_start|Há alguém nessa vila que quer tentar a sorte nas guerras?
dlga_village_elder_talk:close_window|[Sair]
dlga_village_elder_buy_cattle:village_elder_buy_cattle_2|Nós temos {reg5} cabeças de gado, cada uma por {reg6} dinares. Quantas vai querer comprar?
dlga_village_elder_buy_cattle:village_elder_buy_cattle_2.1|Eu temo que não haja gado sobrando nesse vilarejo {senhor/madame}.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete|Um.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete.1|Dois.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete.2|Três.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete.3|Quatro.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete.4|Cinco.
dlga_village_elder_buy_cattle_2:village_elder_pretalk|Esqueça.
dlga_village_elder_buy_cattle_complete:village_elder_pretalk|Eu direi aos vaqueiros que reúnam os animais e tragam eles para vocês, {senhor/madame}. Tenho certeza que ficará satisfeit{o/a} com sua compra.
dlga_village_elder_recruit_start:village_elder_talk|Acho que ninguém aqui estaria interessado, {senhor/madame}. Há algo mais que possa fazer por você?
dlga_village_elder_recruit_start:village_elder_recruit_decision|Posso pensar em {reg5} dos quais suspeito que iriam aproveitar a chance. Se você pudesse pagar 10 dinares {reg7?cada um para seu equipamento:para o seu equipamento}. Isso serve para você?
dlga_village_elder_recruit_decision:village_elder_pretalk|Diga a {reg7?eles:ele} para se preparar.
dlga_village_elder_recruit_decision:village_elder_pretalk.1|Não, não agora.
dlga_village_elder_active_mission_1:village_elder_active_mission_2|Sim {senhor/madame}, você fez algum progresso?
dlga_village_elder_active_mission_2:village_elder_deliver_grain_thank|De fato. Eu trouxe {reg5} sacos de grãos para você.
dlga_village_elder_deliver_grain_thank:village_elder_deliver_grain_thank_2|{Meu bom senhor/Minha gentil senhora}. Você nos salvou da fome e do desespero. Não podemos lhe agradecer o suficiente, mas estará sempre em nossas preces. O vilarejo de {s13} não esquecerá o que fez por nós.
dlga_village_elder_deliver_grain_thank_2:village_elder_talk|{Meu bom senhor/Minha gentil senhora}, por favor, há algo mais que podemos fazer por você?
dlga_village_elder_active_mission_2:village_elder_active_mission_3|Ainda estou trabalhando nisso.
dlga_village_elder_active_mission_2:village_elder_mission_failed|Temo que não poderei dar cabo desta tarefa.
dlga_village_elder_active_mission_3:village_elder_pretalk|Obrigado, {senhor/madame}. Estaremos rezando por você dia e noite.
dlga_village_elder_mission_failed:village_elder_pretalk|Ah, sinto muito ouvir isso {senhor/madame}. Vou pensar em outra coisa.
dlga_village_elder_request_mission_ask:village_elder_pretalk|Bem {senhor/madame}, você já está engajado em uma tarefa conosco. Não podemos pedir mais de você.
dlga_village_elder_request_mission_ask:village_elder_pretalk.1|Não {senhor/madame}, nós não temos outras tarefas para você.
dlga_village_elder_request_mission_ask:village_elder_tell_mission|Uma tarefa?
dlga_village_elder_tell_mission:village_elder_tell_deliver_grain_mission|{Meu bom senhor/Minha gentil senhora}, nosso vilarejo está passando por momentos difíceis ultimamente. A colheita foi ruim, e recentemente bandidos cruéis roubaram nossos grãos que estávamos reservando para o próximo plantio. Se não acharmos mais grãos logo, não seremos capazes de semear nossos campos e não teremos nada para comer no próximo ano. Se puder nos ajudar, seremos eternamente gratos.
dlga_village_elder_tell_deliver_grain_mission:village_elder_tell_deliver_grain_mission_2|Hmmm. Quantos grãos vocês precisam?
dlga_village_elder_tell_deliver_grain_mission:village_elder_deliver_grain_mission_reject|Não estou a fim disso. Pergunte a outra pessoa.
dlga_village_elder_tell_deliver_grain_mission_2:village_elder_tell_deliver_grain_mission_3|Acho que {reg5} sacos de grãos permitirão que comecemos o plantio. Podemos achar pessoas caridosas para ajudar com o resto.
dlga_village_elder_tell_deliver_grain_mission_3:village_elder_deliver_grain_mission_accept|Então irei achar os grãos que precisa.
dlga_village_elder_tell_deliver_grain_mission_3:village_elder_deliver_grain_mission_reject|Temo que não tenha tempo para isso. Vai ter que achar ajuda em outro lugar.
dlga_village_elder_deliver_grain_mission_accept:close_window|Obrigado, {senhor/madame}. Estaremos rezando por você dia e noite.
dlga_village_elder_deliver_grain_mission_reject:close_window|Sim {senhor/madame}, é claro. Perdoe-me por encomodá-l{o/a} com nossos problemas.
dlga_village_elder_tell_mission:village_elder_tell_train_peasants_against_bandits_mission|Estamos sofrendo muito nas mãos de um grupo de bandidos. Eles pegam nossa comida e nosso gado, e matam qualquer um que não os obedecem. Nossos homens estão furiosos porque não somos capazes de nos defendermos, mas... somos simples camponeses. Contudo, com alguma ajuda, acho que algumas pessoas aqui podem ser melhores que isso. Precisamos apenas que um guerreiro experiente nos ensine como lutar.
dlga_village_elder_tell_train_peasants_against_bandits_mission:village_elder_train_peasants_against_bandits_mission_accept|Eu posso ensiná-lo a como se defender.
dlga_village_elder_tell_train_peasants_against_bandits_mission:village_elder_train_peasants_against_bandits_mission_reject|Vocês camponeses não deviam pegar em armas. Apenas paguem os bandidos e é isso.
dlga_village_elder_train_peasants_against_bandits_mission_accept:close_window|Você vai? Oh, esplêndido! Nós seremos eternamente gratos a você, {senhor/madame}. Vou pedir para que o povo do vilarejo se reúna aqui e receba seu treinamento. Se nos ensinar a como se defender, prometo que receberá tudo que pudermos dar em troca por seu esforço.
dlga_village_elder_train_peasants_against_bandits_mission_reject:close_window|Sim, é claro {senhor/madame}. Obrigado por seu conselho.
dlga_village_elder_tell_mission:village_elder_tell_deliver_cattle_mission|Bandidos levaram nosso gado. Nossos pastos estão vazios. Se tivéssemos apenas algumas cabeças de gado poderíamos começar a criar um rebanho novamente.
dlga_village_elder_tell_deliver_cattle_mission:village_elder_tell_deliver_cattle_mission_2|Quantos animais precisa?
dlga_village_elder_tell_deliver_cattle_mission:village_elder_deliver_cattle_mission_reject|Não tenho tempo para isso. Pergunte a outra pessoa.
dlga_village_elder_tell_deliver_cattle_mission_2:village_elder_tell_deliver_cattle_mission_3|Acho que {reg5} cabeças serão suficientes para um pequeno rebanho.
dlga_village_elder_tell_deliver_cattle_mission_3:village_elder_deliver_cattle_mission_accept|Então irei trazer o gado que precisa.
dlga_village_elder_tell_deliver_cattle_mission_3:village_elder_deliver_cattle_mission_reject|Temo que não tenha tempo para isso. Vai ter que achar ajuda em outro lugar.
dlga_village_elder_deliver_cattle_mission_accept:close_window|Obrigado, {senhor/madame}. Estaremos rezando por você dia e noite.
dlga_village_elder_deliver_cattle_mission_reject:close_window|Sim {senhor/madame}, é claro. Perdoe-me por encomodá-l{o/a} com nossos problemas.
dlga_village_elder_tell_mission:village_elder_pretalk|Obrigado, {senhor/madame}, mas não precisamos de nada agora.
dlga_start:goods_merchant_talk|{Meu senhor/Minha senhora}, você honra minha humilde loja com sua presença.
dlga_start:goods_merchant_talk.1|Bem-vind{o senhor/a madame}. O que posso fazer por você?
dlga_goods_merchant_pretalk:goods_merchant_talk|Mais alguma coisa?
dlga_goods_merchant_talk:goods_trade_requested|Quero comprar alguns itens... e talvez vender alguns.
dlga_goods_trade_requested:goods_trade_completed|Claro, claro... Aqui, dê uma olhada em meu estoque...
dlga_goods_trade_completed:goods_merchant_talk|Mais alguma coisa?
dlga_goods_merchant_talk:trade_info_request|Que bens devo comprar aqui para negociar em outras cidades?
dlga_goods_merchant_talk:close_window|Nada. Obrigado.
dlga_trade_info_request:trade_info_request_2|Essa informação pode ser melhor obtida de líderes de caravanas e comerciantes viajantes. Se quiser posso mandá-lo ao distrito onde os comerciantes estrangeiros ficam quando eles vêm a cidade. Se ficar um tempo por lá e ouvir a conversa deles, vai aprender muito sobre o que comprar e onde vender.
dlga_trade_info_request_2:close_window|Então eu vou ficar um tempo com esses comerciantes.
dlga_trade_info_request_2:goods_merchant_pretalk|Não tenho tempo para isso agora.
dlga_start:arena_intro_1.1|Bom dia amig{o/a}. Se veio assistir aos torneios, perdeu seu tempo. Não haverá um torneio aqui novamente tão cedo.
dlga_arena_intro_1:arena_intro_2|Torneios? Então torneios acontencem por aqui...
dlga_arena_intro_2:arena_intro_3|Sim. Você deveria ver este lugar durante as lutas dos torneios. Muitas pessoas da cidade e das vilas ao redor vem aqui. A plateia vai a loucura de excitação. De qualquer modo, como eu disse, não haverá qualquer evento por aqui tão cedo, então não há muito o que se ver. Exceto que há um duelo oficial de vez em quando, e é claro, lutas corporais quase todos os dias.
dlga_arena_intro_3:arena_training_melee_intro|Conte mais sobre as lutas corporais.
dlga_arena_training_melee_intro:arena_training_melee_intro_2|Os lutadores e cavaleiros ficam entediados esperando pelo próximo torneio, então eles inventaram o treinamento de luta. É uma ideia simples, na verdade. Os lutadores entram na arena com uma arma. Sem regras, sem times. Todo mundo batendo em todo mundo até que sobre apenas um lutador. Parece divertido, não é?
dlga_arena_training_melee_intro_2:arena_training_melee_intro_reward|Há alguma recompensa?
dlga_arena_training_melee_intro_reward:arena_training_melee_intro_2|Sim. Alguns cidadãos ricos oferecem prêmios para aqueles lutadores que mostrar grande perícia nas lutas. Se você derrotar {reg1} oponentes antes de cair, vai ganhar {reg11} dinares. {reg12} dinares se derrotar pelo menos {reg2} oponentes, {reg13} dinares se derrotar {reg3} oponentes e {reg14} dinares se for longe com {reg4} oponentes. Se conseguir ser o último homem em pé, ganhará o prêmio maior das lutas que é de {reg15} dinares. Parece bom, não?
dlga_arena_training_melee_explain_reward:arena_master_melee_pretalk|Sim. Alguns cidadãos ricos oferecem prêmios para aqueles lutadores que mostrar grande perícia nas lutas. Se você derrotar {reg1} oponentes antes de cair, vai ganhar {reg11} dinares. {reg12} dinares se derrotar pelo menos {reg2} oponentes, {reg13} dinares se derrotar {reg3} oponentes e {reg14} dinares se for longe com {reg4} oponentes. Se conseguir ser o último homem em pé, ganhará o prêmio maior das lutas que é de {reg15} dinares. Parece bom, não?
dlga_arena_training_melee_intro_2:arena_training_melee_intro_3|Posso participar também?
dlga_arena_training_melee_intro_3:arena_master_melee_talk|Ha ha. Seria maluco se não tentasse. É claro. As lutas estão abertas para todos. Na verdade, teremos uma luta em breve. Pode participar desta se quiser.
dlga_start:arena_master_intro_1|Olá. Você parece nov{o/a} por aqui. Qual seu nome?
dlga_arena_master_intro_1:arena_master_intro_2|Eu sou {playername}.
dlga_arena_master_intro_2:arena_master_pre_talk|Prazer em conhecê-l{o/a} {playername}. Sou o mestre dos torneios aqui em {s1}. Fale comigo se quiser participar das lutas.
dlga_start:arena_master_fight_result|.
dlga_arena_master_fight_result:arena_master_pre_talk|Ha-ha, que surra levou. Mas não se preocupe; todo mundo apanha de vez em quando. O importante é se levantar, sacudir a poeira e continuar lutando. Isso é o que os campeões fazem.
dlga_arena_master_fight_result:arena_master_pre_talk.1|Ei, você conseguiu derrubar {reg8} oponentes. Nada mau. Mas isso não é o suficiente para conseguir qualquer recompensa. Se eu fosse você, eu voltaria lá e tentaria novamente...
dlga_arena_master_fight_result:arena_master_pre_talk.2|Você mostrou uma boa luta lá embaixo. Bons movimentos. Você promete com certeza. E ganhou um prêmio de {reg10} dinares por derrubar {reg8} oponentes.
dlga_arena_master_fight_result:arena_master_pre_talk.3|Foi uma boa luta. Você conseguiu derrubar nada menos que {reg8} oponentes. E é claro, ganhou um prêmio de {reg10} dinares.
dlga_arena_master_fight_result:arena_master_pre_talk.4|Sua performance foi incrível! Você sem dúvidas é {um lutador/uma lutadora} muito eficiente. Não é todo mundo que consegue derrubar {reg8} pessoas nas lutas. É claro que você merece um prêmio por isso: {reg10} dinares. Legal, não é?
dlga_arena_master_fight_result:arena_master_pre_talk.5|Caramba, {playername}, que luta. Você tem movimentos muito bons, táticas excelentes. E você ganhou um prêmio de {reg10} dinares por derrubar {reg8} oponentes.
dlga_arena_master_fight_result:arena_master_pre_talk.6|Congratulações {ao campeão/a campeã}! Sua luta ficará na história! Você conseguiu ser o último lutador a ficar em pé, derrotando a todos. Sua recompensa é de {reg10} dinares.
dlga_start:arena_master_pre_talk|Olá {playername}. Bom ver você novamente.
dlga_arena_master_pre_talk:arena_master_talk|O que gostaria de fazer?
dlga_arena_master_talk:arena_master_melee_pretalk|Sobre as lutas...
dlga_arena_master_talk:arena_master_ask_tournaments|Haverá algum torneio em cidades perto daqui em breve?
dlga_arena_master_talk:close_window|Preciso partir agora. Adeus.
dlga_arena_master_ask_tournaments:arena_master_talk|{reg2?Não haverá torneios tão cedo.:{reg1?Torneios serão organizados em {s15}.:Um torneio será organizado em {s15}.}  
dlga_arena_master_melee_pretalk:arena_master_melee_talk|Haverá uma luta aqui logo. Você pode participar se quiser.
dlga_arena_master_melee_talk:close_window|Bom. É isso que vou fazer.
dlga_arena_master_melee_talk:arena_master_melee_reject|Obrigado. Mas eu vou dar a meus hematomas um tempo para se recuperarem.
dlga_arena_master_melee_reject:arena_master_pre_talk|{Bom garoto/Boa garota}. Foi muito espert{o/a}.
dlga_arena_master_melee_talk:arena_training_melee_explain_reward|Na verdade, pode me falar sobre as recompensas novamente?
dlga_start:galeas_talk|Olá {rapaz/moça}. Se tiver algum prisioneiros, ficarei feliz se comprá-los de você.
dlga_galeas_talk:galeas_sell_prisoners|Então é melhor que tenha trazido sua bolsa. Tenho prisioneiros para vender.
dlga_galeas_talk:close_window|Não dessa vez. Adeus.
dlga_galeas_sell_prisoners:galeas_sell_prisoners_2|Deixe-me ver o que você tem...
dlga_galeas_sell_prisoners_2:close_window|Se fizer mais prisioneiros, traga-os para mim. Vou pagar bem.
dlga_bandit_introduce:bandit_talk|{s5}
dlga_bandit_talk:close_window|Você não terá nada de mim além de aço frio, escória.
dlga_bandit_talk:bandit_barter|Não há necessidade de lutar. Estou posso pagar para passar.
dlga_bandit_barter:bandit_barter_2|Prata sem sangue, é assim que eu gosto! Hmm, dando uma olhada em você, acho que poderia facilmente nos dar {reg5} dinares. Pague e ficará livre para ir.
dlga_bandit_barter_2:bandit_barter_3a|Muito bem, tome.
dlga_bandit_barter_2:bandit_barter_3b|Não tenho tanto dinheiro comigo.
dlga_bandit_barter_3b:close_window|Que pena. Então teremos que vender você como escravos. Peguem {ele/ela}, rapazes!
dlga_bandit_barter:close_window|Ei, eu ouvi falar de você! Você massacrou nós, os irmãos livres, como cães, e agora espera que eu o deixe ir por algumas moedas fedorentas? Pode esquecer. Você não deu nenhuma chance para nós, e vai receber chance alguma agora.
dlga_bandit_barter_3a:close_window|Heh. Não foi tão difícil, não é? Tudo bem. Vá agora.
dlga_start:bandit_meet|Eh? O que foi?
dlga_bandit_meet:bandit_attack|Sua sorte acabou, desgraçado. Prepare-se para morrer!
dlga_bandit_attack:close_window|{s5}
dlga_bandit_meet:close_window|Esqueça, não tenho assuntos com você.
dlga_start:disbanded_troop_ask|Você quer que a gente o siga?
dlga_disbanded_troop_ask:disbanded_troop_join|Sim. Vamos cavalgar juntos.
dlga_disbanded_troop_ask:close_window|Não. Não dessa vez.
dlga_disbanded_troop_join:close_window|Infelizmente. Você não tem espaço em sua companhia.
dlga_disbanded_troop_join:close_window.1|Estamos as suas ordens.
dlga_start:enemy_talk_1|Você não vai me capturar. Não dessa vez.
dlga_enemy_talk_1:enemy_talk_2|Você não tem chance contra mim. Desista.
dlga_enemy_talk_2:close_window|Eu vou desistir quando você estiver morto!
dlga_start:party_encounter_routed_agents_are_caught|Eu imploro, deixe-nos em paz.
dlga_party_encounter_routed_agents_are_caught:party_encounter_routed_agents_are_caught2|Você acha que pode fugir de mim? Será meu prisioneiro ou morrerá!
dlga_party_encounter_routed_agents_are_caught:close_window|Ok. Vamos deixar você em paz dessa vez, não nos desafie de novo.
dlga_party_encounter_routed_agents_are_caught2:close_window|Você não tem alguma piedade? Certo, vamos lutar com você até o último homem!
dlga_party_encounter_routed_agents_are_caught2:close_window.1|{s1}
dlga_sell_prisoner_outlaws:sell_prisoner_outlaws|Hmmm. 10 dinares para cada saqueador dá um total de {reg1} dinares para todos os {reg0} que pegamos.
dlga_sell_prisoner_outlaws:sell_prisoner_outlaws.1|Deixe ver. Você trouxe {reg0} bandidos, então com 20 dinares por cada, isso dá {reg1} dinares.
dlga_sell_prisoner_outlaws:sell_prisoner_outlaws.2|Bem bem, você capturou {reg0} salteadores. Cada um vale 30 dinares, então vou dar a você um total de {reg1} dinares.
dlga_sell_prisoner_outlaws:close_window|Acho que isso é tudo, então.
dlga_prisoner_chat:prisoner_chat_2|Não tente fugir ou fazer algo estúpido. Estou de olho em você.
dlga_prisoner_chat_2:close_window|Não, eu juro que não farei nada disso.
dlga_start:town_merchant_talk|Saudações, {milorde/madame}. Como posso ser útil hoje?
dlga_start:town_merchant_talk.1|Bom dia. O que posso fazer por você?
dlga_town_merchant_talk:trade_requested_weapons|Eu quero comprar uma nova arma. Mostre-me o que você tem.
dlga_town_merchant_talk:trade_requested_armor|Estou procurando por equipamentos. Mostre-me sua mercadoria.
dlga_town_merchant_talk:trade_requested_horse|Acho que quero comprar um cavalo.
